Product URL,Product Name,Product Price,Product Rating,Product Reviews
/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,Price and other details may vary based on product size and colour.,₹639,4.1 out of 5 stars,Price and other details may vary based on product size and colour.
/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls","₹2,000",4.2 out of 5 stars,"6,663"
/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75#customerReviews,"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)","₹1,099",3.9 out of 5 stars,1K+ bought in past month
/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips","₹2,999",4.0 out of 5 stars,M.R.P: 
/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H,"POLESTAR Amaze 15.6 inch 30 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",₹549,4.4 out of 5 stars,"1,530"
/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6, Black)","₹1,799",4.1 out of 5 stars,300+ bought in past month
/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H#customerReviews,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",₹549,4.3 out of 5 stars,M.R.P: 
/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H,"Presto! Oxo-Biodegradable Garbage Bags, Medium - 30 Bags/Roll (Pack of 3, Green, For Wet Waste, plastic)","₹1,290",4.1 out of 5 stars,"17,605"
/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹289,4.4 out of 5 stars,M.R.P: 
/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Lipton Honey Lemon Green Tea Bags 100 pcs, All Natural Flavour, Zero Calories - Improves Metabolism & Reduces Waist",₹480,4.0 out of 5 stars,"6,169"
/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93#customerReviews,ADISA Women's Girls Party Sling Bag Crossbody,₹229,4.3 out of 5 stars,200+ bought in past month
/blackfriday,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,₹499,4.0 out of 5 stars,M.R.P: 
/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,₹209,4.5 out of 5 stars,"35,897"
/POLE-STAR-Polyester-Backpack-Compartment/dp/B07D6NXR2Q,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),₹315,3.9 out of 5 stars,60K+ bought in past month
/POLE-STAR-Polyester-Backpack-Compartment/dp/B07D6NXR2Q,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,₹229,3.8 out of 5 stars,(₹1.61/count)
/POLE-STAR-Polyester-Backpack-Compartment/dp/B07D6NXR2Q#customerReviews,Wesley 15 Liter Casual Daypack Backpack,₹499,4.2 out of 5 stars,M.R.P: 
/blackfriday,Lenovo 15.6-inch Casual Laptop Briefcase T210,₹518,4 Stars & Up,"10,271"
/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96,Price and other details may vary based on product size and colour.,₹299,3.9 out of 5 stars,Price and other details may vary based on product size and colour.
/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96,Gear Superior 16L Small Water Resistant School Bag//Casual Backpack/ Daypack/College Bag for Men/Women - Black,₹899,4.3 out of 5 stars,385
/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96#customerReviews,ZOUK Black Floral Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with double handles - FloMotif,"₹1,549",4.3 out of 5 stars,300+ bought in past month
/blackfriday,"Presto! Oxo-Biodegradable Garbage Bags, XL (30 x 37 inches) - 10 bags/roll (Pack of 6, Black, plastic)","₹4,863",3.4 out of 5 stars,M.R.P: 
/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96,Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Dark Grey),₹389,4.3 out of 5 stars,"1,101"
